calories_g,fat_g,carbohydrates_g,protein_g,cholesterol_mg,sodium_mg
324.0,21.0,12.2,21.1, 77  ,1166.0
299.0,13.4,9.8,34.3, 88 ,702.0
356.0,24.9,0.8,30.9, 117 ,1311.0
526.0,33.4,15.3,39.3, 136  ,796.0
418.0,28.6,15.8,26.2, 59  ,2816.0
359.0,11.1,46.2,20.1, 32 ,772.0
399.0,27.5,13.5,25.4, 95 ,528.0
643.0,22.1,77.5,30.9, 150  ,1064.0
734.0,35.0,41.7,63.1, 197  ,2487.0
309.0,9.7,18.7,36.0, 162 ,378.0
519.0,35.5,24.5,25.0, 132 ,721.0
344.0,27.0,18.3,5.2, 50  ,344.0
547.0,18.9,68.7,30.4, 67 ,687.0
441.0,35.1,13.4,17.8, 81  ,958.0
478.0,17.6,49.4,31.1, 73 ,988.0
450.0,22.0,11.5,49.5, 127  ,1252.0
444.0,19.4,17.4,34.2, 84  ,988.0
357.0,21.2,22.8,18.8, 50  ,966.0
544.0,31.4,39.4,25.4, 92  ,850.0
440.0,27.7,34.4,19.3, 61  ,1131.0
441.0,9.8,62.1,26.5, 65 ,614.0
468.0,35.3,21.9,16.8, 57  ,778.0
362.0,7.6,57.5,16.2, 16  ,821.0
614.0,31.0,41.8,34.5, 82  ,1485.0
291.0,19.1,7.6,20.6, 62  ,442.0
801.0,56.2,14.4,56.1, 170  ,3895.0
393.0,31.5,12.2,15.0, 140  ,358.0
258.0,12.3,5.6,27.6, 52  ,708.0
409.0,17.2,50.4,15.2, 0 ,1348.0
179.0,9.1,16.7,7.9, 12  ,515.0
276.0,7.8,24.7,25.4, 120 ,660.0
395.0,17.0,43.2,17.4, 79  ,452.0
441.0,29.7,4.0,38.3, 88  ,339.0
304.0,13.3,21.2,24.8, 74 ,623.0
579.0,32.9,30.2,38.3, 144 ,1142.0
213.0,10.1,2.5,26.9, 51  ,559.0
551.0,43.9,3.0,36.9, 144  ,331.0
529.0,35.1,27.2,25.8, 130 ,1104.0
452.0,13.1,60.1,25.7, 67 ,714.0
188.0,8.6,8.1,19.6, 65  ,351.0
338.0,25.4,5.7,20.3, 84  ,408.0
339.0,21.6,2.4,32.6, 134 ,437.0
567.0,13.7,96.9,14.8, 3 ,948.0
281.0,21.0,0.6,21.0, 64  ,1458.0
271.0,5.3,47.8,10.0, 0  ,552.0
837.0,50.7,61.5,33.2, 193 ,425.0
635.0,37.9,32.0,45.2, 111 ,2231.0
382.0,15.2,46.2,17.4, 46  ,1338.0
364.0,27.4,10.0,13.0, 54  ,651.0
240.0,12.2,15.1,17.4, 42 ,1179.0
618.0,46.5,2.8,45.4, 138  ,632.0
444.0,7.5,41.9,50.5, 115 ,1048.0
906.0,39.2,73.8,60.6, 185  ,594.0
417.0,15.9,45.2,23.8, 119  ,980.0
282.0,25.7,7.5,10.3, 8 ,1018.0
73.0,1.0,3.6,11.7, 86  ,268.0
606.0,46.6,9.4,35.6, 138  ,923.0
458.0,31.8,24.8,17.1, 57  ,1760.0
502.0,31.2,34.7,22.8, 49 ,1626.0
382.0,20.5,22.3,27.3, 71  ,1886.0
532.0,22.8,27.8,51.4, 148  ,579.0
231.0,13.7,10.7,16.3, 60  ,594.0
346.0,12.3,44.7,21.7, 0  ,849.0
324.0,14.5,26.2,24.1, 81 ,569.0
224.0,12.2,1.1,22.9, 134 ,232.0
592.0,30.5,53.9,26.7, 65 ,81.0
69.0,2.3,2.2,9.5, 86  ,633.0
333.0,22.2,4.1,28.3, 104 ,188.0
344.0,7.8,59.6,9.4, 0  ,798.0
367.0,20.0,21.1,28.5, 114  ,6585.0
1065.0,54.6,77.8,59.0, 162  ,3633.0
494.0,38.1,8.4,29.2, 159 ,862.0
363.0,7.1,46.1,28.1, 26  ,1062.0
355.0,15.5,42.0,14.4, 37  ,817.0
201.0,12.1,16.1,7.7, 54  ,257.0
744.0,36.5,3.8,93.2, 309  ,309.0
426.0,12.7,48.8,27.1, 64 ,1567.0
383.0,31.1,7.8,14.7, 75  ,1491.0
704.0,53.2,36.5,19.4, 89  ,1557.0
360.0,9.3,43.5,21.3, 31  ,799.0
285.0,17.5,18.9,16.3, 0 ,823.0
651.0,28.5,52.2,43.8, 266  ,357.0
239.0,8.2,4.2,30.6, 95  ,517.0
317.0,6.0,2.2,59.8, 164  ,405.0
271.0,13.8,10.4,27.7, 93 ,462.0
763.0,48.7,35.1,46.5, 225 ,1029.0
327.0,21.6,2.5,29.3, 91  ,1018.0
586.0,41.0,12.9,39.4, 102  ,3179.0
361.0,10.1,33.9,32.1, 76 ,605.0
668.0,48.2,28.0,28.8, 175  ,947.0
498.0,40.1,16.1,18.6, 64 ,968.0
1595.0,83.7,133.4,79.8, 215 ,2322.0
288.0,19.3,12.3,15.9, 54  ,1440.0
1030.0,64.9,68.0,40.8, 98 ,2237.0
405.0,26.6,4.0,36.2, 104  ,180.0
358.0,16.3,24.7,27.0, 78  ,735.0
331.0,17.6,2.0,39.7, 140 ,221.0
515.0,17.8,51.2,35.6, 162 ,4175.0
296.0,13.2,25.2,19.7, 85  ,881.0
119.0,7.4,13.4,2.4, 0  ,300.0
359.0,28.9,1.3,23.2, 41  ,290.0
303.0,14.7,19.4,22.1, 61 ,961.0
341.0,12.0,4.8,50.3, 181  ,545.0
498.0,33.5,13.5,32.7, 70  ,771.0
255.0,12.4,27.7,9.1, 30  ,128.0
650.0,36.1,54.3,28.4, 42  ,589.0
532.0,20.6,38.2,57.3, 18  ,1396.0
200.0,11.4,5.7,18.6, 48 ,198.0
338.0,25.9,0.9,24.9, 128 ,223.0
327.0,13.5,30.2,20.5, 45  ,839.0
349.0,24.7,2.5,24.5, 105  ,86.0
227.0,15.8,1.2,19.4, 47  ,424.0
894.0,60.4,36.9,49.5, 234  ,1650.0
188.0,9.6,6.6,18.4, 63  ,2332.0
416.0,32.1,10.9,23.0, 146  ,930.0
164.0,10.2,11.2,5.6, 13  ,395.0
400.0,28.3,1.9,31.6, 96 ,374.0
346.0,17.4,21.5,26.7, 109  ,625.0
836.0,47.4,64.2,40.7, 179  ,2411.0
337.0,16.2,20.8,26.7, 67 ,1774.0
352.0,10.9,24.3,40.5, 346  ,691.0
454.0,29.2,30.9,16.9, 88 ,1446.0
470.0,25.4,42.2,18.3, 55  ,933.0
258.0,17.7,12.0,12.9, 34  ,1299.0
821.0,55.2,35.2,45.2, 164 ,783.0
446.0,12.3,47.2,36.0, 62 ,835.0
610.0,30.7,69.4,15.5, 85  ,77.0
455.0,34.2,12.0,25.1, 67 ,2469.0
716.0,31.9,63.9,40.5, 190  ,1660.0
341.0,17.9,13.5,29.6, 85  ,681.0
521.0,22.4,41.8,30.8, 91  ,1129.0
217.0,11.5,21.0,8.3, 16  ,512.0
641.0,29.4,60.9,32.4, 61 ,1076.0
391.0,14.2,46.0,21.2, 79  ,1012.0
1034.0,76.1,50.2,39.0, 166  ,2965.0
141.0,7.5,3.9,13.7, 36  ,50.0
463.0,20.3,30.3,37.3, 107 ,844.0
373.0,5.1,53.2,25.7, 113 ,241.0
357.0,23.8,7.8,27.5, 81  ,325.0
278.0,15.3,1.7,31.9, 137  ,207.0
447.0,14.1,54.7,25.6, 59 ,1994.0
656.0,33.3,36.6,50.0, 147  ,533.0
389.0,19.4,13.1,39.7, 134 ,471.0
777.0,62.3,28.6,24.6, 128  ,2702.0
237.0,10.6,11.8,21.7, 59  ,76.0
419.0,15.9,38.8,29.6, 88  ,805.0
337.0,13.4,35.1,19.1, 58 ,332.0
485.0,19.1,45.5,28.5, 81  ,985.0
806.0,48.3,55.9,32.3, 75 ,1274.0
533.0,34.6,4.5,40.7, 158  ,278.0
473.0,19.9,47.8,25.3, 72  ,782.0
695.0,48.9,42.4,23.1, 91  ,844.0
483.0,18.9,45.0,32.2, 90  ,626.0
368.0,10.6,51.8,7.1, 28  ,333.0
193.0,4.3,31.9,6.9, 27  ,158.0
298.0,8.9,14.2,38.8, 111 ,322.0
604.0,39.8,16.0,43.9, 156 ,747.0
482.0,21.9,27.0,41.7, 118 ,1166.0
740.0,41.0,70.5,23.4, 61 ,1810.0
270.0,10.6,27.3,16.1, 44 ,755.0
308.0,13.5,18.7,27.8, 68 ,816.0
665.0,53.8,7.5,37.3, 137 ,1204.0
702.0,23.4,94.8,31.8, 111  ,1354.0
207.0,13.0,2.1,18.0, 76  ,381.0
1498.0,84.2,118.9,64.7, 343 ,1961.0
187.0,8.0,29.2,4.9, 0  ,224.0
572.0,52.5,2.0,21.8, 88 ,458.0
319.0,2.0,46.3,29.8, 68 ,353.0
759.0,59.5,15.5,39.8, 157 ,1587.0
187.0,5.2,7.8,25.8, 59  ,175.0
556.0,36.5,31.6,25.9, 101  ,2096.0
344.0,22.4,7.7,27.5, 68 ,1296.0
351.0,14.7,26.5,26.0, 72 ,358.0
282.0,15.4,8.2,24.4, 63  ,777.0
422.0,23.2,11.0,41.0, 124  ,749.0
412.0,30.7,11.9,26.3, 59 ,594.0
943.0,49.9,71.1,45.7, 127 ,221.0
325.0,16.6,28.6,14.1, 37  ,307.0
317.0,18.7,20.7,16.8, 38  ,1264.0
323.0,17.6,13.2,28.2, 72 ,71.0
649.0,39.9,50.9,27.6, 77 ,1464.0
463.0,22.0,41.7,24.3, 99  ,1057.0
451.0,14.1,56.0,25.5, 71  ,132.0
485.0,32.0,30.5,17.9, 85  ,565.0
300.0,20.2,10.1,17.5, 47  ,1099.0
622.0,37.9,26.8,41.0, 204 ,1304.0
276.0,13.1,3.0,35.4, 69  ,174.0
351.0,20.9,9.9,29.4, 154  ,564.0
304.0,21.1,16.9,12.0, 60  ,641.0
583.0,21.3,78.8,21.5, 132 ,1479.0
439.0,22.5,25.4,33.0, 103 ,130.0
430.0,24.9,1.4,48.1, 127  ,389.0
182.0,6.7,25.9,4.4, 18  ,772.0
235.0,7.9,12.9,27.4, 69 ,529.0
186.0,11.1,4.5,16.3, 46 ,64.0
625.0,31.7,9.8,71.2, 225  ,1185.0
991.0,80.5,16.5,47.8, 532  ,1436.0
198.0,12.5,1.7,16.6, 56  ,715.0
650.0,32.3,58.6,30.4, 91  ,818.0
239.0,12.2,7.6,25.5, 131  ,160.0
515.0,24.4,49.2,25.5, 117  ,1348.0
377.0,19.4,34.4,15.9, 67  ,838.0
690.0,28.2,93.0,19.0, 155  ,228.0
304.0,10.0,44.2,9.4, 1  ,714.0
297.0,11.4,22.7,26.2, 82  ,515.0
557.0,13.3,80.7,26.1, 137  ,815.0
508.0,29.4,31.2,32.9, 95 ,1414.0
452.0,24.1,3.6,52.5, 166  ,855.0
625.0,39.2,47.8,23.4, 71  ,1252.0
390.0,23.9,35.9,10.8, 54  ,210.0
404.0,21.9,40.7,17.0, 36  ,1753.0
224.0,8.5,16.5,24.0, 41  ,139.0
318.0,17.1,11.8,26.9, 49  ,414.0
420.0,35.3,1.8,24.3, 148  ,428.0
367.0,25.0,10.8,24.4, 76  ,1866.0
616.0,36.9,20.4,43.5, 150 ,519.0
384.0,23.7,15.2,27.5, 115 ,1007.0
193.0,12.4,8.6,12.8, 31  ,340.0
397.0,7.9,24.8,53.1, 134  ,750.0
299.0,15.1,24.4,16.9, 28  ,1703.0
152.0,2.8,7.1,24.4, 61 ,392.0
320.0,22.8,4.1,25.1, 230  ,827.0
376.0,21.9,21.4,20.6, 69  ,1249.0
363.0,23.3,8.6,30.1, 105 ,431.0
810.0,32.2,70.1,46.0, 194 ,633.0
226.0,10.5,28.4,4.3, 1  ,479.0
251.0,12.5,22.3,12.7, 25  ,495.0
614.0,34.5,26.0,47.1, 234  ,1147.0
285.0,18.8,6.0,20.7, 77  ,1109.0
620.0,41.1,8.7,51.3, 204 ,553.0
209.0,8.1,10.7,19.2, 59  ,609.0
496.0,33.0,2.3,45.1, 132  ,520.0
342.0,17.2,10.0,27.9, 71  ,347.0
552.0,24.4,64.5,20.2, 0  ,1317.0
563.0,32.5,24.3,42.9, 185 ,1166.0
184.0,6.8,5.8,23.9, 73 ,464.0
378.0,16.1,26.1,31.5, 91  ,824.0
374.0,31.4,1.1,20.6, 143  ,151.0
260.0,6.8,41.9,10.3, 4  ,236.0
651.0,20.3,74.0,29.3, 68  ,1505.0
243.0,14.0,1.1,26.7, 54  ,546.0
431.0,31.5,15.3,19.7, 96  ,530.0
874.0,42.2,70.1,52.4, 157 ,1577.0
433.0,1.7,79.5,28.3, 68 ,939.0
422.0,24.1,33.9,17.6, 38  ,609.0
509.0,21.3,45.7,34.4, 67 ,257.0
559.0,19.1,72.3,25.6, 60  ,606.0
321.0,6.6,48.2,16.7, 21 ,739.0
942.0,59.5,56.6,45.6, 197  ,1475.0
611.0,35.0,2.1,67.4, 196  ,444.0
317.0,16.8,35.2,7.2, 0  ,724.0
358.0,21.1,21.3,20.4, 79  ,29.0
973.0,56.3,59.9,55.1, 215 ,1796.0
356.0,24.5,15.7,18.8, 56  ,364.0
360.0,19.8,7.5,36.9, 95 ,500.0
285.0,11.1,34.2,11.3, 29  ,623.0
683.0,36.3,39.1,51.4, 209 ,366.0
515.0,32.6,33.6,22.4, 101 ,524.0
389.0,25.4,3.7,35.1, 134 ,1196.0
456.0,22.4,40.3,23.9, 77  ,697.0
483.0,33.7,12.7,33.2, 110 ,2613.0
345.0,19.7,27.1,15.3, 67  ,495.0
508.0,29.1,4.8,46.1, 146 ,432.0
492.0,33.7,31.2,19.7, 81  ,1047.0
406.0,35.6,12.1,12.3, 85  ,1017.0
489.0,31.8,40.9,11.4, 27  ,1383.0
362.0,13.4,44.9,21.0, 15  ,693.0
488.0,29.0,32.0,25.4, 75 ,1045.0
278.0,21.5,10.5,12.9, 101  ,609.0
143.0,7.3,7.6,11.5, 46 ,110.0
228.0,13.9,0.9,23.7, 63  ,272.0
621.0,43.1,29.8,29.0, 197  ,919.0
145.0,2.3,6.0,22.0, 59 ,695.0
216.0,12.7,1.0,23.5, 82  ,313.0
474.0,20.4,43.9,29.6, 119  ,2428.0
593.0,45.7,16.9,28.4, 142 ,900.0
497.0,14.3,52.7,37.7, 158  ,751.0
371.0,25.1,1.7,33.7, 99  ,300.0
232.0,4.9,28.7,17.9, 33  ,569.0
663.0,40.2,48.3,28.6, 95  ,1076.0
435.0,12.4,51.0,27.4, 169  ,479.0
360.0,10.2,46.3,21.4, 33 ,437.0
269.0,22.1,1.1,16.4, 79 ,72.0
493.0,35.8,9.3,33.3, 181 ,516.0
486.0,4.7,104.6,14.5, 23 ,796.0
715.0,29.2,67.4,45.6, 126 ,655.0
391.0,35.2,3.6,15.0, 42  ,725.0
329.0,17.3,10.7,32.3, 67  ,541.0
545.0,26.1,57.2,20.8, 123  ,584.0
229.0,13.4,7.1,21.0, 195  ,781.0
623.0,40.0,32.1,27.8, 112 ,731.0
375.0,22.4,33.6,11.1, 61  ,371.0
634.0,40.1,46.3,22.2, 118  ,719.0
459.0,4.5,94.3,17.0, 34  ,41.0
522.0,18.8,46.2,38.4, 108 ,2334.0
524.0,40.5,11.3,27.6, 129  ,1923.0
140.0,4.3,7.9,19.1, 67  ,139.0
802.0,39.5,91.3,23.8, 44  ,1460.0
254.0,13.3,6.8,28.6, 99 ,1228.0
642.0,37.5,27.5,46.4, 140 ,2807.0
475.0,28.1,11.6,41.7, 132 ,796.0
233.0,18.6,4.5,12.2, 83  ,92.0
400.0,16.6,51.6,14.1, 35  ,388.0
451.0,29.5,20.4,28.8, 124  ,1176.0
483.0,36.3,27.3,19.5, 37  ,544.0
349.0,25.0,12.6,18.5, 103  ,666.0
318.0,14.3,25.7,23.2, 69  ,564.0
237.0,13.5,10.3,19.7, 71  ,570.0
562.0,35.9,13.7,47.6, 137 ,860.0
596.0,51.2,18.5,22.3, 46 ,981.0
647.0,41.4,31.2,38.8, 174  ,2027.0
281.0,9.3,39.3,11.4, 93  ,909.0
368.0,14.8,24.6,35.2, 103 ,1105.0
481.0,27.7,42.9,13.8, 50  ,755.0
452.0,15.6,69.2,11.2, < 1  ,512.0
705.0,25.1,70.2,48.6, 145 ,1402.0
551.0,28.0,50.4,24.5, 114  ,1073.0
209.0,11.8,8.7,14.5, 53  ,568.0
441.0,20.2,21.3,42.4, 118 ,402.0
435.0,22.2,6.4,49.9, 140  ,754.0
398.0,13.7,49.9,20.0, 40  ,520.0
608.0,29.4,74.2,16.1, 14 ,191.0
401.0,30.0,2.0,30.3, 152 ,377.0
335.0,20.6,8.9,28.2, 100 ,769.0
588.0,32.6,39.8,30.4, 83 ,1208.0
560.0,42.7,18.6,24.6, 134  ,2175.0
299.0,19.8,8.3,21.0, 82  ,439.0
724.0,29.2,77.2,36.8, 89 ,1134.0
508.0,30.5,23.8,33.7, 93  ,944.0
338.0,16.1,32.7,14.8, 42  ,708.0
228.0,9.5,18.3,18.1, 50  ,191.0
403.0,25.0,20.5,27.2, 100 ,927.0
287.0,12.9,31.0,11.6, 19  ,585.0
145.0,2.7,24.6,4.9, 46  ,848.0
156.0,3.8,7.1,22.6, 65  ,1860.0
366.0,15.6,15.3,39.1, 109  ,225.0
534.0,28.3,65.8,11.3, 0  ,141.0
668.0,33.7,59.1,31.9, 120  ,2482.0
181.0,2.6,2.0,35.1, 62  ,151.0
674.0,42.3,32.5,37.1, 114  ,894.0
191.0,6.1,8.5,24.0, 173  ,175.0
586.0,36.2,15.8,46.5, 133  ,2564.0
611.0,29.5,61.1,21.3, 94  ,888.0
286.0,9.9,14.9,31.1, 88 ,620.0
570.0,22.6,78.5,15.7, 124  ,184.0
262.0,14.2,5.0,24.2, 57  ,222.0
481.0,23.7,25.4,39.2, 164  ,574.0
385.0,11.8,4.3,60.3, 191  ,314.0
289.0,9.2,28.1,28.3, 59 ,290.0
319.0,16.0,21.2,25.3, 41  ,562.0
601.0,43.2,7.5,44.5, 134 ,1079.0
858.0,52.1,29.6,66.1, 255 ,1986.0
375.0,24.0,24.9,17.4, 54  ,709.0
559.0,29.8,27.6,44.9, 135  ,1549.0
791.0,43.9,46.3,53.3, 245 ,723.0
255.0,6.7,10.8,36.6, 141 ,2854.0
371.0,24.9,24.3,11.9, 57  ,467.0
327.0,12.2,27.1,20.0, 142  ,313.0
321.0,15.2,17.0,28.5, 68 ,982.0
806.0,72.0,5.9,36.4, 245  ,2312.0
343.0,24.3,9.8,22.3, 62 ,83.0
475.0,9.3,64.1,33.6, 61  ,619.0
369.0,19.8,22.1,27.2, 59 ,892.0
409.0,9.3,37.5,41.8, 107  ,170.0
223.0,10.9,28.9,4.1, 10  ,76.0
721.0,49.0,7.0,58.7, 180 ,1850.0
452.0,25.2,16.2,43.1, 73  ,1034.0
194.0,10.8,4.0,19.5, 71 ,311.0
414.0,27.9,8.6,30.2, 100  ,238.0
290.0,7.6,26.4,26.4, 39  ,1271.0
422.0,28.5,23.2,19.9, 62  ,1265.0
43.0,3.3,2.4,0.9, 9  ,103.0
396.0,26.9,6.8,32.0, 91  ,640.0
165.0,5.2,4.8,24.1, 59  ,804.0
617.0,39.1,15.3,48.4, 195 ,345.0
559.0,35.4,33.9,27.6, 83  ,1478.0
219.0,7.8,15.6,21.1, 82  ,811.0
645.0,28.7,76.6,12.4, 40  ,881.0
212.0,10.3,29.9,5.0, 0  ,445.0
154.0,9.5,10.9,6.7, 22  ,247.0
358.0,17.6,1.6,45.5, 121  ,161.0
323.0,18.9,11.7,24.5, 101  ,308.0
351.0,15.3,34.2,18.0, 66  ,890.0
414.0,23.4,39.5,13.3, 36  ,467.0
280.0,20.1,2.9,20.0, 78  ,915.0
629.0,55.2,8.6,24.6, 72  ,408.0
660.0,44.9,46.3,19.1, 75  ,1333.0
540.0,19.8,42.3,47.4, 148 ,440.0
565.0,36.1,43.0,19.4, 60  ,2042.0
767.0,42.5,56.7,42.8, 177 ,825.0
306.0,16.2,12.7,25.8, 124  ,635.0
617.0,42.2,30.8,28.4, 136  ,721.0
513.0,29.1,11.1,50.2, 149 ,401.0
384.0,22.8,1.0,40.9, 107  ,256.0
394.0,10.6,37.8,35.0, 71 ,1463.0
557.0,33.2,13.5,46.2, 160 ,630.0
522.0,15.7,58.0,34.6, 70 ,826.0
368.0,7.7,51.0,23.5, 34 ,296.0
376.0,20.1,32.7,17.3, 77 ,323.0
432.0,28.0,21.0,24.7, 163  ,1491.0
14.0,0.1,2.7,0.4, 3  ,17.0
366.0,26.9,16.4,17.3, 31  ,572.0
367.0,23.3,1.9,35.0, 97 ,384.0
319.0,13.7,26.1,22.2, 69  ,1415.0
219.0,9.8,7.7,24.2, 130  ,796.0
461.0,18.4,51.9,21.9, 69  ,741.0
625.0,26.6,50.8,45.3, 111 ,911.0
378.0,16.6,36.1,22.8, 69  ,1323.0
346.0,13.8,32.7,24.7, 91  ,1159.0
242.0,15.1,1.0,24.6, 67 ,446.0
397.0,20.8,38.4,15.0, 68 ,828.0
507.0,27.3,42.0,22.5, 47 ,1174.0
304.0,12.3,21.4,27.4, 81 ,574.0
458.0,28.9,14.1,19.9, 72  ,638.0
183.0,5.2,9.9,23.7, 59  ,816.0
328.0,13.4,29.9,20.7, 46  ,1121.0
281.0,13.5,20.2,19.7, 117  ,749.0
403.0,18.8,27.7,30.8, 84 ,519.0
260.0,18.7,3.5,16.1, 39  ,107.0
201.0,6.6,26.9,10.1, 12  ,202.0
325.0,19.5,18.2,18.7, 110  ,658.0
200.0,6.8,17.6,18.6, 43 ,223.0
638.0,35.9,10.6,62.3, 198 ,389.0
342.0,18.8,3.7,37.6, 120  ,429.0
380.0,24.7,13.3,25.5, 94 ,114.0
236.0,12.5,12.8,18.0, 58  ,414.0
507.0,19.1,55.8,28.8, 112  ,1058.0
301.0,21.6,10.5,16.5, 45  ,1097.0
531.0,39.7,4.0,36.4, 136  ,772.0
500.0,28.0,24.2,36.2, 137 ,1017.0
287.0,14.2,18.1,22.1, 66  ,150.0
420.0,24.4,27.0,22.1, 100  ,812.0
147.0,2.0,3.7,27.6, 68 ,79.0
422.0,18.7,51.7,15.2, 37  ,894.0
902.0,35.9,104.3,41.4, 117  ,2225.0
736.0,34.6,62.5,43.8, 104  ,1452.0
1456.0,133.6,9.0,54.9, 496  ,1568.0
688.0,30.3,66.1,36.3, 220  ,984.0
502.0,24.8,47.1,24.1, 58  ,462.0
287.0,12.0,23.6,20.9, 72 ,1372.0
484.0,16.7,47.3,37.0, 114  ,893.0
214.0,9.3,0.3,30.4, 105  ,1083.0
744.0,47.7,59.6,25.4, 68  ,1706.0
273.0,9.9,32.3,15.3, 37  ,632.0
78.0,3.5,10.8,1.3, 0  ,902.0
257.0,18.8,7.7,14.1, 34 ,1101.0
488.0,24.7,24.8,40.1, 128 ,990.0
668.0,33.3,50.5,40.1, 104  ,1249.0
672.0,53.6,10.4,34.2, 147  ,440.0
432.0,21.2,25.0,33.1, 103 ,543.0
588.0,8.4,82.1,34.5, 76  ,1595.0
473.0,17.3,43.3,33.7, 82 ,1109.0
643.0,46.0,43.9,14.1, 42  ,1074.0
907.0,57.3,50.2,44.8, 161  ,2785.0
707.0,56.3,44.9,14.2, 119  ,1267.0
338.0,13.5,11.6,41.6, 56  ,2715.0
344.0,17.6,20.3,25.4, 63  ,728.0
299.0,15.8,27.2,9.7, 41  ,4200.0
157.0,6.8,5.3,17.8, 48 ,334.0
546.0,27.3,24.0,47.5, 145 ,479.0
444.0,12.8,57.4,24.3, 43 ,701.0
269.0,7.2,37.1,15.1, 37  ,928.0
465.0,17.0,52.3,24.6, 43  ,1620.0
185.0,5.2,25.0,11.1, 0  ,868.0
580.0,28.6,30.1,49.4, 164 ,453.0
542.0,20.3,73.6,17.9, 44  ,700.0
272.0,13.2,15.1,23.3, 70  ,1156.0
416.0,24.0,6.8,41.7, 128 ,690.0
424.0,18.6,52.9,20.4, 49  ,1104.0
695.0,34.1,64.2,31.4, 71  ,1788.0
620.0,46.4,26.4,28.8, 178  ,950.0
538.0,29.4,20.4,45.7, 144 ,1034.0
824.0,44.0,66.4,40.0, 123 ,1931.0
434.0,20.1,49.0,15.3, 28  ,639.0
787.0,26.1,114.6,28.3, 0  ,2399.0
291.0,17.3,14.1,19.7, 69  ,179.0
181.0,0.2,40.7,2.9, 0  ,296.0
698.0,39.0,43.0,41.4, 190  ,1045.0
249.0,14.7,5.3,22.6, 67  ,161.0
548.0,32.6,43.7,29.8, 79 ,1255.0
305.0,14.6,14.6,30.9, 174  ,1020.0
337.0,18.1,2.8,37.8, 113 ,886.0
301.0,14.0,25.0,19.9, 86 ,134.0
515.0,34.2,6.8,42.2, 170 ,387.0
917.0,67.4,12.7,62.6, 164  ,851.0
541.0,28.4,51.2,17.6, 50  ,1185.0
147.0,6.5,3.0,18.1, 55  ,390.0
856.0,58.9,42.6,41.9, 154  ,2243.0
110.0,6.6,2.2,10.2, 19  ,386.0
402.0,20.0,20.5,33.6, 91 ,395.0
593.0,37.5,23.4,38.1, 131  ,1143.0
653.0,44.0,13.9,48.4, 177  ,2529.0
649.0,51.0,10.5,37.6, 219  ,1630.0
305.0,15.3,9.8,33.0, 81 ,443.0
743.0,39.0,53.9,42.6, 182 ,1013.0
405.0,18.0,39.9,19.7, 44  ,1156.0
369.0,25.4,15.8,19.7, 70  ,504.0
335.0,22.2,3.3,29.4, 94  ,208.0
284.0,10.1,17.3,28.8, 79 ,994.0
392.0,24.5,13.6,29.9, 96  ,1073.0
795.0,34.8,83.9,33.5, 266  ,610.0
482.0,34.1,16.9,27.5, 134  ,1680.0
301.0,3.1,10.5,55.0, 137 ,984.0
1096.0,85.6,44.9,35.9, 172  ,2831.0
185.0,10.8,14.9,9.9, 189  ,670.0
478.0,19.8,17.6,46.9, 201  ,467.0
261.0,19.7,13.6,6.9, 35  ,724.0
625.0,23.5,70.7,35.4, 112 ,716.0
551.0,23.0,40.2,38.5, 282  ,322.0
904.0,52.8,53.1,53.1, 159  ,3660.0
602.0,33.3,52.1,22.9, 84  ,1530.0
217.0,11.7,3.6,23.5, 41  ,74.0
842.0,38.8,48.8,71.1, 244 ,1304.0
533.0,24.9,30.5,46.6, 139 ,2043.0
465.0,19.5,36.3,35.1, 101 ,1439.0
683.0,33.1,60.6,33.7, 143  ,1543.0
416.0,15.2,38.9,30.1, 47  ,481.0
362.0,17.7,23.4,25.6, 74  ,687.0
287.0,10.6,39.8,11.2, 4  ,283.0
442.0,32.1,15.2,23.7, 104  ,2691.0
655.0,30.3,67.8,27.6, 141  ,1765.0
336.0,11.0,29.2,31.5, 55  ,847.0
263.0,16.0,17.3,13.1, 102  ,357.0
324.0,16.5,13.6,27.9, 139  ,501.0
370.0,22.9,25.8,14.7, 39 ,579.0
443.0,25.7,2.6,46.5, 133  ,365.0
485.0,29.5,30.5,24.2, 117  ,411.0
514.0,27.7,48.0,20.0, 72  ,752.0
346.0,2.1,71.1,9.9, 46  ,372.0
398.0,20.4,31.1,26.5, 58 ,179.0
122.0,4.7,4.0,15.4, 36  ,1827.0
115.0,0.3,25.2,2.3, < 1  ,66.0
640.0,30.1,75.6,20.0, 74  ,832.0
441.0,30.3,21.5,20.4, 96  ,457.0
597.0,35.5,41.7,28.9, 75  ,1514.0
645.0,46.5,35.6,22.2, 116  ,1492.0
434.0,10.0,66.6,22.3, 38  ,953.0
375.0,14.9,37.0,25.0, 45  ,530.0
344.0,22.9,23.6,11.8, 36  ,529.0
364.0,8.5,42.0,30.8, 69 ,1200.0
411.0,18.3,43.0,17.8, 58 ,517.0
902.0,60.9,54.0,34.6, 134  ,1390.0
154.0,3.1,2.0,27.7, 79  ,825.0
299.0,10.5,1.4,47.0, 147  ,119.0
253.0,10.8,11.3,27.1, 107  ,549.0
460.0,33.5,8.5,31.6, 102  ,337.0
137.0,10.2,6.5,5.9, 26  ,564.0
421.0,13.6,49.3,27.4, 65 ,870.0
529.0,27.9,45.3,24.1, 53  ,1796.0
258.0,3.2,49.3,7.3, 2  ,750.0
