calories_g,fat_g,carbohydrates_g,protein_g,cholesterol_mg,sodium_mg
707.0,45.0,50.6,28.4, 201  ,1034.0
147.0,9.8,12.8,4.1, 17  ,269.0
692.0,35.8,70.2,21.2, 47  ,1803.0
497.0,29.6,33.0,26.0, 117  ,1245.0
255.0,10.2,25.9,14.1, 83 ,516.0
210.0,8.5,9.6,23.6, 65  ,924.0
377.0,16.9,35.1,20.1, 52  ,1274.0
303.0,25.1,2.3,16.8, 99 ,615.0
477.0,21.7,28.0,40.3, 100 ,1022.0
697.0,37.4,45.7,43.2, 170  ,1607.0
964.0,61.2,84.0,23.7, 184  ,582.0
328.0,23.4,13.2,17.9, 106 ,980.0
210.0,7.7,9.4,24.6, 66  ,483.0
313.0,21.2,1.8,28.2, 132 ,974.0
445.0,11.2,68.7,17.8, 34 ,763.0
223.0,13.8,0.7,22.2, 73  ,474.0
317.0,19.3,26.3,8.4, 67  ,241.0
444.0,21.1,44.7,16.4, 118  ,369.0
687.0,43.4,50.6,24.4, 100  ,863.0
363.0,14.5,45.6,13.9, 26  ,732.0
576.0,46.2,0.6,37.0, 137  ,880.0
186.0,8.5,12.2,15.5, 44 ,440.0
444.0,36.1,10.6,19.7, 248  ,335.0
454.0,19.8,23.8,44.1, 204 ,1108.0
408.0,28.5,0.2,35.2, 142 ,133.0
248.0,9.4,25.6,16.0, 46  ,564.0
572.0,19.3,57.3,41.9, 84 ,1707.0
344.0,31.9,2.3,13.0, 382  ,351.0
673.0,30.8,57.0,43.3, 133 ,1386.0
368.0,22.1,19.9,22.1, 120 ,866.0
308.0,19.1,14.6,19.3, 81 ,989.0
243.0,14.7,0.0,25.9, 82  ,715.0
449.0,32.8,5.2,33.4, 104 ,685.0
352.0,20.6,25.5,17.1, 64  ,840.0
272.0,4.7,9.3,45.3, 117 ,976.0
441.0,22.2,24.5,33.3, 128  ,4260.0
400.0,8.6,8.2,47.8, 148  ,676.0
396.0,16.0,44.5,21.1, 42  ,1139.0
394.0,25.4,1.6,37.7, 121  ,1046.0
472.0,19.6,49.5,23.6, 99  ,1281.0
484.0,18.4,47.7,31.6, 204  ,441.0
528.0,18.3,44.9,43.5, 184 ,1309.0
214.0,10.1,1.7,27.6, 91 ,368.0
462.0,28.5,37.1,11.5, 23  ,706.0
332.0,10.9,43.3,16.7, 20 ,69.0
385.0,22.0,20.8,23.9, 87  ,1288.0
461.0,39.4,7.0,17.1, 96  ,857.0
435.0,18.4,52.7,13.3, 29  ,544.0
273.0,1.5,1.5,59.5, 164  ,309.0
546.0,31.2,39.9,27.2, 121  ,786.0
477.0,23.9,34.8,30.0, 88 ,1143.0
368.0,22.4,15.9,26.1, 91  ,353.0
246.0,10.8,18.3,19.0, 83  ,748.0
275.0,22.5,3.4,14.8, 27  ,935.0
423.0,19.3,39.0,22.3, 89  ,1077.0
447.0,37.5,3.7,25.3, 230  ,800.0
462.0,31.1,41.3,8.6, 82  ,1434.0
548.0,31.2,34.4,33.2, 98 ,1685.0
257.0,14.4,14.3,16.8, 54  ,487.0
255.0,19.3,5.0,14.6, 64  ,70.0
488.0,11.4,70.0,32.6, 55 ,444.0
421.0,21.2,16.1,41.1, 128 ,348.0
288.0,15.5,6.5,28.5, 84  ,171.0
192.0,7.0,1.3,29.6, 88 ,348.0
695.0,32.3,72.8,29.4, 95  ,928.0
521.0,28.3,42.4,26.1, 96  ,1492.0
494.0,21.8,38.2,38.2, 104  ,1626.0
778.0,57.3,7.6,54.6, 198  ,602.0
184.0,6.2,5.6,25.3, 67 ,735.0
196.0,9.1,23.2,5.6, 49  ,320.0
259.0,5.8,43.5,9.3, 2  ,576.0
586.0,33.1,59.5,14.7, 50  ,1580.0
613.0,53.2,6.6,26.6, 149  ,333.0
276.0,16.2,13.5,18.7, 65  ,562.0
440.0,24.9,16.7,37.5, 173  ,1073.0
472.0,24.6,13.9,45.8, 138  ,470.0
261.0,8.4,39.7,5.8, 46  ,381.0
331.0,21.5,7.5,25.0, 106  ,552.0
360.0,20.1,18.0,25.8, 74  ,1425.0
367.0,26.2,5.7,20.3, 81  ,64.0
314.0,8.8,41.1,17.4, 65  ,673.0
321.0,18.2,8.4,24.7, 87 ,224.0
437.0,23.3,25.3,34.4, 66 ,596.0
548.0,27.7,40.9,32.8, 78 ,1113.0
350.0,19.1,24.9,18.5, 67  ,604.0
223.0,13.1,13.3,12.8, 66  ,657.0
785.0,40.7,66.6,37.1, 83 ,1840.0
105.0,2.4,18.0,2.8, 2  ,386.0
313.0,21.7,14.0,19.1, 38 ,268.0
539.0,29.8,45.8,20.2, 45  ,1041.0
510.0,36.0,32.3,18.2, 95  ,354.0
646.0,42.5,43.0,23.1, 210  ,437.0
276.0,15.4,7.6,25.9, 139 ,539.0
576.0,36.0,36.0,28.4, 81  ,2496.0
192.0,2.6,32.5,12.1, 0  ,572.0
430.0,20.8,19.0,38.5, 120 ,829.0
190.0,11.9,0.2,19.2, 71 ,178.0
1043.0,68.5,54.7,50.7, 234  ,1720.0
196.0,12.0,2.9,19.1, 188  ,244.0
146.0,4.3,10.6,16.0, 36  ,1337.0
362.0,10.8,37.8,28.4, 57 ,536.0
203.0,10.0,9.7,16.0, 39  ,711.0
307.0,21.5,4.6,23.3, 63  ,649.0
791.0,34.3,71.1,47.0, 124  ,1393.0
408.0,27.8,15.6,23.4, 107 ,523.0
916.0,42.0,92.0,43.9, 122  ,2285.0
238.0,16.2,1.1,18.4, 54  ,43.0
288.0,17.9,10.1,20.9, 101  ,867.0
653.0,50.6,11.9,31.6, 132  ,645.0
595.0,9.2,94.4,33.9, 58 ,2402.0
497.0,31.9,27.6,24.4, 78 ,107.0
159.0,7.8,0.6,20.6, 75 ,1063.0
761.0,34.4,74.9,36.2, 96  ,1258.0
398.0,23.8,16.3,28.5, 93  ,1294.0
385.0,15.2,52.6,10.8, 33  ,1595.0
642.0,44.7,19.0,40.4, 184 ,1049.0
554.0,39.6,17.1,31.8, 92 ,768.0
183.0,6.1,11.7,20.4, 62  ,667.0
391.0,11.4,37.3,32.8, 116 ,935.0
463.0,25.9,34.2,23.0, 78  ,1333.0
451.0,20.6,51.8,17.8, 50  ,656.0
630.0,24.2,79.1,24.0, 33  ,604.0
260.0,19.1,3.3,18.4, 69  ,315.0
589.0,41.7,25.2,27.9, 160  ,500.0
634.0,36.5,54.9,24.3, 101 ,1192.0
357.0,21.5,18.8,25.7, 24 ,841.0
496.0,35.7,9.2,34.2, 183 ,373.0
376.0,18.3,31.4,20.8, 68 ,1377.0
210.0,8.3,5.7,27.6, 113 ,344.0
639.0,18.4,56.2,59.2, 160 ,759.0
369.0,19.7,32.2,18.1, 44  ,840.0
489.0,24.5,43.8,22.1, 55  ,801.0
140.0,0.9,27.1,6.3, 0  ,354.0
393.0,23.8,36.5,9.2, 22  ,623.0
821.0,36.0,83.6,40.1, 97  ,1855.0
539.0,33.2,39.5,20.4, 65  ,651.0
695.0,36.7,62.2,31.5, 193  ,1054.0
565.0,34.1,32.8,32.6, 120 ,1166.0
527.0,18.1,46.7,34.0, 176  ,969.0
278.0,10.7,16.9,27.0, 73  ,1008.0
728.0,33.6,61.9,42.5, 150  ,1250.0
497.0,24.1,27.1,40.9, 125 ,896.0
363.0,19.0,15.6,31.3, 88  ,565.0
288.0,17.8,9.1,21.5, 96  ,196.0
481.0,40.8,5.6,22.2, 94  ,1369.0
172.0,3.6,7.3,24.8, 46  ,354.0
700.0,12.1,76.7,67.7, 161 ,1790.0
501.0,29.6,32.4,24.3, 117  ,1067.0
596.0,33.7,0.8,68.1, 198  ,165.0
500.0,18.3,69.7,16.2, 6  ,350.0
286.0,16.9,14.4,16.8, 61  ,1384.0
135.0,3.0,0.9,24.7, 67 ,205.0
880.0,82.3,12.8,26.4, 303 ,1461.0
998.0,52.7,71.5,55.9, 160  ,2550.0
234.0,12.1,7.3,23.1, 76  ,587.0
814.0,57.5,9.7,59.4, 340 ,1383.0
588.0,16.5,75.3,33.6, 108 ,1034.0
557.0,41.5,25.2,24.3, 101  ,896.0
284.0,18.6,5.7,24.5, 59  ,501.0
403.0,26.9,17.1,22.1, 83  ,538.0
475.0,13.9,69.3,20.3, 37  ,403.0
703.0,28.1,72.6,38.2, 113  ,1111.0
781.0,31.9,78.2,43.6, 141  ,1473.0
275.0,19.7,4.2,20.3, 49  ,270.0
410.0,29.1,4.0,31.7, 162  ,811.0
450.0,13.2,48.0,33.5, 96 ,2015.0
690.0,53.2,17.9,34.1, 114 ,967.0
422.0,14.3,38.6,32.3, 128  ,897.0
550.0,24.5,43.7,37.7, 116  ,1544.0
458.0,38.0,1.4,27.7, 129 ,678.0
606.0,30.8,35.5,35.3, 247  ,680.0
244.0,11.3,21.8,13.7, 35 ,504.0
235.0,11.4,14.4,18.9, 47 ,919.0
